"WineID";"Color";"Type";"Varietal";"Producer";"Description";"Country";"Region";"SubRegion";"subappellation";"Name";"created_at"
10263;"Red";"Table";"Proprietary Blend";"Majella";"The Malleea";"Australia";"South Australia";"Coonawarra";"";"Majella The Malleea";"2021-08-04 14:52:46"
10264;"Red";"Table";"Syrah";"Majella";"Shiraz";"Australia";"South Australia";"Coonawarra";"";"Majella Shiraz";"2021-08-04 14:52:46"
10265;"Red";"Table";"Proprietary Blend";"RBJ";"Theologicum";"Australia";"South Australia";"Barossa Valley";"";"RBJ Theologicum";"2021-08-04 14:52:46"
10267;"Red";"Table";"Syrah";"Rockford";"Shiraz Basket Press";"Australia";"South Australia";"Barossa Valley";"";"Rockford Shiraz Basket Press";"2021-08-04 14:52:46"
1027;"White";"Table";"Chardonnay";"Domaine Louis Latour";"Meursault";"France";"Burgundy";"Cote de Beaune";"";"Domaine Louis Latour Meursault";"2021-08-04 14:52:46"
10270;"Red";"Table";"Proprietary Blend";"Torbreck";"Run Rig";"Australia";"South Australia";"Barossa Valley";"";"Torbreck Run Rig";"2021-08-04 14:52:46"
10271;"Red";"Table";"Proprietary Blend";"Torbreck";"The Steading";"Australia";"South Australia";"Barossa Valley";"";"Torbreck The Steading";"2021-08-04 14:52:46"
10275;"Red";"Table";"Syrah";"Veritas Winery";"Shiraz Hanisch";"Australia";"South Australia";"Barossa Valley";"";"Veritas Winery Shiraz Hanisch";"2021-08-04 14:52:46"
10276;"Red";"Table";"Syrah";"Veritas Winery";"Shiraz Heysen";"Australia";"South Australia";"Barossa Valley";"";"Veritas Winery Shiraz Heysen";"2021-08-04 14:52:46"
10284;"Red";"Table";"Proprietary Blend";"Daniel et Denis Alary";"Cotes du Rhone Villages Cairanne Font d'Estevanas";"France";"Rhone";"Southern Rhone";"Cairanne";"Daniel et Denis Alary Cotes du Rhone Villages Cairanne Font d'Estevanas";"2021-08-04 14:52:46"
1029;"White";"Table";"Chardonnay";"Domaine Louis Latour";"Le Montrachet";"France";"Burgundy";"Cote de Beaune";"Le Montrachet";"Domaine Louis Latour Le Montrachet";"2021-08-04 14:52:46"
10291;"White";"Table";"Proprietary Blend";"Hugues Beaulieu";"Picpoul de Pinet Coteaux du Languedoc";"France";"Languedoc Roussillon";"Coteaux du Languedoc";"";"Hugues Beaulieu Picpoul de Pinet Coteaux du Languedoc";"2021-08-04 14:52:46"
103;"Red";"Table";"Cabernet Sauvignon";"Los Vascos";"Cabernet Sauvignon Reserve";"Chile";"Rapel Valley";"Colchagua";"";"Los Vascos Cabernet Sauvignon Reserve";"2021-08-04 14:52:46"
1030;"White";"Table";"Chardonnay";"Domaine Louis Latour";"Corton Charlemagne";"France";"Burgundy";"Cote de Beaune";"Corton Charlemagne";"Domaine Louis Latour Corton Charlemagne";"2021-08-04 14:52:46"
1031;"White";"Table";"Chardonnay";"Domaine Louis Latour";"Chevalier Montrachet les Demoiselles";"France";"Burgundy";"Cote de Beaune";"";"Domaine Louis Latour Chevalier Montrachet les Demoiselles";"2021-08-04 14:52:46"
1032;"White";"Table";"Chardonnay";"Domaine Louis Latour";"Chevalier Montrachet";"France";"Burgundy";"Cote de Beaune";"Chevalier Montrachet";"Domaine Louis Latour Chevalier Montrachet";"2021-08-04 14:52:46"
10327;"Red";"Table";"Proprietary Blend";"Chateau Coupe-Roses";"Minervois Cuvee Vignals";"France";"Languedoc Roussillon";"Minervois";"";"Chateau Coupe-Roses Minervois Cuvee Vignals";"2021-08-04 14:52:46"
